DZ,"Precipitation of drizzle"
+SNPLRA,"Heavy precipitation of snow, ice pellets and rain"
+PLRASN,"Heavy precipitation of ice pellets, rain and snow"
+PLSNRA,"Heavy precipitation of ice pellets, snow and rain"
+PLSNSG,"Heavy precipitation of ice pellets, snow and snow grains"
+PLSGSN,"Heavy precipitation of ice pellets, snow grains and snow"
+SNPLSG,"Heavy precipitation of snow, ice pellets and snow grains"
+SNSGPL,"Heavy precipitation of snow, snow grains and ice pellets"
+SGPLSN,"Heavy precipitation of snow grains, ice pellets and snow"
+SGSNPL,"Heavy precipitation of snow grains, snow and ice pellets"
SHRA,"Showery precipitation of rain"
SHSN,"Showery precipitation of snow"
SHGR,"Showery precipitation of hail"
SHGS,"Showery precipitation of snow pellets/small hail"
SHUP,"Unidentified showery precipitation"
SHRASN,"Showery precipitation of rain and snow" 
SHSNRA,"Showery precipitation of snow and rain"
SHGRRA,"Showery precipitation of hail and rain"
SHGSRA,"Showery precipitation of snow pellets/small hail and rain"
SHRAGR,"Showery precipitation of rain and hail"
SHSNGR,"Showery precipitation of snow and hail"
SHGRSN,"Showery precipitation of hail and snow"
SHGSSN,"Showery precipitation of snow pellets/small hail and snow"
SHRAGS,"Showery precipitation of rain and snow pellets/small hail"
SHSNGS,"Showery precipitation of snow and snow pellets/small hail"
SHRASNGR,"Showery precipitation of rain, snow and hail"
SHRAGRSN,"Showery precipitation of rain, hail and snow"
SHSNRAGR,"Showery precipitation of snow, rain and hail"
SHSNGRRA,"Showery precipitation of snow, hail and rain"
SHGRRASN,"Showery precipitation of hail, rain and snow"
SHGRSNRA,"Showery precipitation of hail, snow and rain"
SHRASNGS,"Showery precipitation of rain, snow and snow pellets/small hail"
SHRAGSSN,"Showery precipitation of rain, snow pellets/small hail and snow"
SHSNRAGS,"Showery precipitation of snow, rain and snow pellets/small hail"
SHSNGSRA,"Showery precipitation of snow, snow pellets/small hail and rain"
SHGSRASN,"Showery precipitation of snow pellets/small hail, rain and snow"
SHGSSNRA,"Showery precipitation of snow pellets/small hail, snow and rain"
+SHRA,"Heavy showery precipitation of rain"
+SHSN,"Heavy showery precipitation of snow"
+SHGR,"Heavy showery precipitation of hail"
+SHGS,"Heavy showery precipitation of snow pellets/small hail"
+SHUP,"Heavy unidentified showery precipitation"
+SHRASN,"Heavy showery precipitation of rain and snow" 
+SHSNRA,"Heavy showery precipitation of snow and rain"
+SHGRRA,"Heavy showery precipitation of hail and rain"
+SHGSRA,"Heavy showery precipitation of snow pellets/small hail and rain"
+SHRAGR,"Heavy showery precipitation of rain and hail"
+SHSNGR,"Heavy showery precipitation of snow and hail"
+SHGRSN,"Heavy showery precipitation of hail and snow"
+SHGSSN,"Heavy showery precipitation of snow pellets/small hail and snow"
+SHRAGS,"Heavy showery precipitation of rain and snow pellets/small hail"
+SHSNGS,"Heavy showery precipitation of snow and snow pellets/small hail"
+SHRASNGR,"Heavy showery precipitation of rain, snow and hail"
+SHRAGRSN,"Heavy showery precipitation of rain, hail and snow"
+SHSNRAGR,"Heavy showery precipitation of snow, rain and hail"
+SHSNGRRA,"Heavy showery precipitation of snow, hail and rain"
+SHGRRASN,"Heavy showery precipitation of hail, rain and snow"
+SHGRSNRA,"Heavy showery precipitation of hail, snow and rain"
+SHRASNGS,"Heavy showery precipitation of rain, snow and snow pellets/small hail"
+SHRAGSSN,"Heavy showery precipitation of rain, snow pellets/small hail and snow"
+SHSNRAGS,"Heavy showery precipitation of snow, rain and snow pellets/small hail"
+SHSNGSRA,"Heavy showery precipitation of snow, snow pellets/small hail and rain"
+SHGSRASN,"Heavy showery precipitation of snow pellets/small hail, rain and snow"
+SHGSSNRA,"Heavy showery precipitation of snow pellets/small hail, snow and rain"
-TSRA,"Thunderstorm with light precipitation of rain"
-TSSN,"Thunderstorm with light precipitation of snow"
-TSGR,"Thunderstorm with light precipitation of hail"
-TSGS,"Thunderstorm with light precipitation of snow pellets/small hail"
-TSUP,"Thunderstorm with light unidentified precipitation"
-TSRASN,"Thunderstorm with light precipitation of rain and snow" 
-TSSNRA,"Thunderstorm with light precipitation of snow and rain"
-TSGRRA,"Thunderstorm with light precipitation of hail and rain"
-TSGSRA,"Thunderstorm with light precipitation of snow pellets/small hail and rain"
-TSRAGR,"Thunderstorm with light precipitation of rain and hail"
-TSSNGR,"Thunderstorm with light precipitation of snow and hail"
-TSGRSN,"Thunderstorm with light precipitation of hail and snow"
-TSGSSN,"Thunderstorm with light precipitation of snow pellets/small hail and snow"
-TSRAGS,"Thunderstorm with light precipitation of rain and snow pellets/small hail"
-TSSNGS,"Thunderstorm with light precipitation of snow and snow pellets/small hail"
-TSRASNGR,"Thunderstorm with light precipitation of rain, snow and hail"
-TSRAGRSN,"Thunderstorm with light precipitation of rain, hail and snow"
-TSSNRAGR,"Thunderstorm with light precipitation of snow, rain and hail"
-TSSNGRRA,"Thunderstorm with light precipitation of snow, hail and rain"
-TSGRRASN,"Thunderstorm with light precipitation of hail, rain and snow"
-TSGRSNRA,"Thunderstorm with light precipitation of hail, snow and rain"
-TSRASNGS,"Thunderstorm with light precipitation of rain, snow and snow pellets/small hail"
-TSRAGSSN,"Thunderstorm with light precipitation of rain, snow pellets/small hail and snow"
-TSSNRAGS,"Thunderstorm with light precipitation of snow, rain and snow pellets/small hail"
-TSSNGSRA,"Thunderstorm with light precipitation of snow, snow pellets/small hail and rain"
-TSGSRASN,"Thunderstorm with light precipitation of snow pellets/small hail, rain and snow"
-TSGSSNRA,"Thunderstorm with light precipitation of snow pellets/small hail, snow and rain"
TSRA,"Thunderstorm with precipitation of rain"
TSSN,"Thunderstorm with precipitation of snow"
TSGR,"Thunderstorm with precipitation of hail"
TSGS,"Thunderstorm with precipitation of snow pellets/small hail"
TSUP,"Thunderstorm with unidentified precipitation"
TSRASN,"Thunderstorm with precipitation of rain and snow" 
TSSNRA,"Thunderstorm with precipitation of snow and rain"
TSGRRA,"Thunderstorm with precipitation of hail and rain"
TSGSRA,"Thunderstorm with precipitation of snow pellets/small hail and rain"
TSRAGR,"Thunderstorm with precipitation of rain and hail"
TSSNGR,"Thunderstorm with precipitation of snow and hail"
TSGRSN,"Thunderstorm with precipitation of hail and snow"
TSGSSN,"Thunderstorm with precipitation of snow pellets/small hail and snow"
TSRAGS,"Thunderstorm with precipitation of rain and snow pellets/small hail"
TSSNGS,"Thunderstorm with precipitation of snow and snow pellets/small hail"
TSRASNGR,"Thunderstorm with precipitation of rain, snow and hail"
TSRAGRSN,"Thunderstorm with precipitation of rain, hail and snow"
TSSNRAGR,"Thunderstorm with precipitation of snow, rain and hail"
TSSNGRRA,"Thunderstorm with precipitation of snow, hail and rain"
TSGRRASN,"Thunderstorm with precipitation of hail, rain and snow"
TSGRSNRA,"Thunderstorm with precipitation of hail, snow and rain"
TSRASNGS,"Thunderstorm with precipitation of rain, snow and snow pellets/small hail"
TSRAGSSN,"Thunderstorm with precipitation of rain, snow pellets/small hail and snow"
TSSNRAGS,"Thunderstorm with precipitation of snow, rain and snow pellets/small hail"
TSSNGSRA,"Thunderstorm with precipitation of snow, snow pellets/small hail and rain"
TSGSRASN,"Thunderstorm with precipitation of snow pellets/small hail, rain and snow"
TSGSSNRA,"Thunderstorm with precipitation of snow pellets/small hail, snow and rain"
+TSRA,"Thunderstorm with heavy precipitation of rain"
+TSSN,"Thunderstorm with heavy precipitation of snow"
+TSGR,"Thunderstorm with heavy precipitation of hail"
+TSGS,"Thunderstorm with heavy precipitation of snow pellets/small hail"
+TSUP,"Thunderstorm with heavy precipitation of unidentified precipitation"
+TSRASN,"Thunderstorm with heavy precipitation of rain and snow" 
+TSSNRA,"Thunderstorm with heavy precipitation of snow and rain"
+TSGRRA,"Thunderstorm with heavy precipitation of hail and rain"
+TSGSRA,"Thunderstorm with heavy precipitation of snow pellets/small hail and rain"
+TSRAGR,"Thunderstorm with heavy precipitation of rain and hail"
+TSSNGR,"Thunderstorm with heavy precipitation of snow and hail"
+TSGRSN,"Thunderstorm with heavy precipitation of hail and snow"
+TSGSSN,"Thunderstorm with heavy precipitation of snow pellets/small hail and snow"
+TSRAGS,"Thunderstorm with heavy precipitation of rain and snow pellets/small hail"
+TSSNGS,"Thunderstorm with heavy precipitation of snow and snow pellets/small hail"
+TSRASNGR,"Thunderstorm with heavy precipitation of rain, snow and hail"
+TSRAGRSN,"Thunderstorm with heavy precipitation of rain, hail and snow"
+TSSNRAGR,"Thunderstorm with heavy precipitation of snow, rain and hail"
+TSSNGRRA,"Thunderstorm with heavy precipitation of snow, hail and rain"
+TSGRRASN,"Thunderstorm with heavy precipitation of hail, rain and snow"
+TSGRSNRA,"Thunderstorm with heavy precipitation of hail, snow and rain"
+TSRASNGS,"Thunderstorm with heavy precipitation of rain, snow and snow pellets/small hail"
+TSRAGSSN,"Thunderstorm with heavy precipitation of rain, snow pellets/small hail and snow"
+TSSNRAGS,"Thunderstorm with heavy precipitation of snow, rain and snow pellets/small hail"
+TSSNGSRA,"Thunderstorm with heavy precipitation of snow, snow pellets/small hail and rain"
+TSGSRASN,"Thunderstorm with heavy precipitation of snow pellets/small hail, rain and snow"
+TSGSSNRA,"Thunderstorm with heavy precipitation of snow pellets/small hail, snow and rain"
-FZDZ,"Light precipitation of freezing drizzle"
-FZRA,"Light precipitation of freezng rain"
-FZUP,"Light unidentified freezing precipitation"
-FZDZRA,"Light precipitation of freezing drizzle and rain"
-FZRADZ,"Light precipitation of freezing rain and drizzle"
FZDZ,"Precipitation of freezing drizzle"
FZRA,"Precipitation of freezng rain"
FZUP,"Unidentified freezing precipitation"
FZDZRA,"Precipitation of freezing drizzle and rain"
FZRADZ,"Precipitation of freezing rain and drizzle"
+FZDZ,"Heavy precipitation of freezing drizzle"
+FZRA,"Heavy precipitation of freezng rain"
+FZUP,"Heavy unidentified freezing precipitation"
+FZDZRA,"Heavy precipitation of freezing drizzle and rain"
+FZRADZ,"Heavy precipitation of freezing rain and drizzle"
-DS,"Light duststorm"
DS,"Duststorm"
+DS,"Heavy duststorm"
-SS,"Light sandstorm"
SS,"Sandstorm"
+SS,"Heavy sandstorm"
FG,"Fog"
FC,"Funnel cloud(s) (tornado or water-spout)"
PO,"Dust/sand whirls (dust devils)"
VA,"Volcanic ash"
TS,"Thunderstorm"
BLSA,"Blowing sand"
BLDU,"Blowing dust"
BLSN,"Blowing snow"
DRSA,"Low drifting sand"
DRDU,"Low drifting dust"
DRSN,"Low drifting snow"
SA,"Sand"
DU,"Dust"
MIFG,"Shallow fog"
PRFG,"Partial fog (covering part of the aerodrome)"
BCFG,"Patches of fog"
FZFG,"Freezing fog"
BR,"Mist"
HZ,"Haze"
FU,"Smoke"
SQ,"Squalls"

---

Note: Use of precipitation type IC "Ice crystals" is deprecated as of Amd 76 to ICAO Annex 3 (Nov 2013)
Note: Use of precipitation type SG "Snow grains" shall only be used without qualification of SH (shower) or TS (thunderstorm)
Note: Use of precipitation types GS "Small hail and/or snow pellets" and GR "Hail" shall only be used with qualification of SH (shower) or TS (thunderstorm)
Note: SH (Shower) cannot be reported with qualifying precipitation
Note: Given regulation (15.14.12) and (51.5.1) [below], reporting of light intensity precipitation is prohibited for forecast weather except in relation to thunderstorms and freezing precipitation
Note: Given regulation (15.14.12) and (51.5.1) [below], reporting of weather phenomena in the vicinity is assumed to be prohibited
Note: When reporting forecast weather for TAF and METAR trend forecasts the following regulation applies (51.5.1 and 15.14.12)

    Inclusion of significant forecast weather w’w’, using the appropriate abbreviations in accordance
    with Regulation 15.8, shall be restricted to indicate:
    (1) the onset, cessation or change in intensity of the following weather phenomena:
    - Freezing precipitation;
    - Moderate or heavy precipitation (including showers);
    - Duststorm;
    - Sandstorm;
    - Thunderstorm (with precipitation)
    (2) the onset or cessation of the following weather phenomena:
    - Freezing fog;
    - Ice crystals;
    - Low drifting dust, sand or snow;
    - Blowing dust, sand or snow;
    - Thunderstorm (without precipitation);
    - Squall;
    - Funnel cloud (tornado or waterspout);
    - Other weather phenomena – given in Code table 4678 shall be included as
      agreed by the meteorological authority with the air traffic services authority
      and operators concerned.
