-DZ,"Light precipitation of drizzle"
-TSSN,"Thunderstorm with light precipitation of snow"
-TSGR,"Thunderstorm with light precipitation of hail"
-TSGS,"Thunderstorm with light precipitation of snow pellets/small hail"
-TSUP,"Thunderstorm with light unidentified precipitation"
-TSRASN,"Thunderstorm with light precipitation of rain and snow" 
-TSSNRA,"Thunderstorm with light precipitation of snow and rain"
-TSGRRA,"Thunderstorm with light precipitation of hail and rain"
-TSGSRA,"Thunderstorm with light precipitation of snow pellets/small hail and rain"
-TSRAGR,"Thunderstorm with light precipitation of rain and hail"
-TSSNGR,"Thunderstorm with light precipitation of snow and hail"
-TSGRSN,"Thunderstorm with light precipitation of hail and snow"
-TSGSSN,"Thunderstorm with light precipitation of snow pellets/small hail and snow"
-TSRAGS,"Thunderstorm with light precipitation of rain and snow pellets/small hail"
-TSSNGS,"Thunderstorm with light precipitation of snow and snow pellets/small hail"
-TSRASNGR,"Thunderstorm with light precipitation of rain, snow and hail"
-TSRAGRSN,"Thunderstorm with light precipitation of rain, hail and snow"
-TSSNRAGR,"Thunderstorm with light precipitation of snow, rain and hail"
-TSSNGRRA,"Thunderstorm with light precipitation of snow, hail and rain"
-TSGRRASN,"Thunderstorm with light precipitation of hail, rain and snow"
-TSGRSNRA,"Thunderstorm with light precipitation of hail, snow and rain"
-TSRASNGS,"Thunderstorm with light precipitation of rain, snow and snow pellets/small hail"
-TSRAGSSN,"Thunderstorm with light precipitation of rain, snow pellets/small hail and snow"
-TSSNRAGS,"Thunderstorm with light precipitation of snow, rain and snow pellets/small hail"
-TSSNGSRA,"Thunderstorm with light precipitation of snow, snow pellets/small hail and rain"
-TSGSRASN,"Thunderstorm with light precipitation of snow pellets/small hail, rain and snow"
-TSGSSNRA,"Thunderstorm with light precipitation of snow pellets/small hail, snow and rain"
TSRA,"Thunderstorm with precipitation of rain"
TSSN,"Thunderstorm with precipitation of snow"
TSGR,"Thunderstorm with precipitation of hail"
TSGS,"Thunderstorm with precipitation of snow pellets/small hail"
TSUP,"Thunderstorm with unidentified precipitation"
TSRASN,"Thunderstorm with precipitation of rain and snow" 
TSSNRA,"Thunderstorm with precipitation of snow and rain"
TSGRRA,"Thunderstorm with precipitation of hail and rain"
TSGSRA,"Thunderstorm with precipitation of snow pellets/small hail and rain"
TSRAGR,"Thunderstorm with precipitation of rain and hail"
TSSNGR,"Thunderstorm with precipitation of snow and hail"
TSGRSN,"Thunderstorm with precipitation of hail and snow"
TSGSSN,"Thunderstorm with precipitation of snow pellets/small hail and snow"
TSRAGS,"Thunderstorm with precipitation of rain and snow pellets/small hail"
TSSNGS,"Thunderstorm with precipitation of snow and snow pellets/small hail"
TSRASNGR,"Thunderstorm with precipitation of rain, snow and hail"
TSRAGRSN,"Thunderstorm with precipitation of rain, hail and snow"
TSSNRAGR,"Thunderstorm with precipitation of snow, rain and hail"
TSSNGRRA,"Thunderstorm with precipitation of snow, hail and rain"
TSGRRASN,"Thunderstorm with precipitation of hail, rain and snow"
TSGRSNRA,"Thunderstorm with precipitation of hail, snow and rain"
TSRASNGS,"Thunderstorm with precipitation of rain, snow and snow pellets/small hail"
TSRAGSSN,"Thunderstorm with precipitation of rain, snow pellets/small hail and snow"
TSSNRAGS,"Thunderstorm with precipitation of snow, rain and snow pellets/small hail"
TSSNGSRA,"Thunderstorm with precipitation of snow, snow pellets/small hail and rain"
TSGSRASN,"Thunderstorm with precipitation of snow pellets/small hail, rain and snow"
TSGSSNRA,"Thunderstorm with precipitation of snow pellets/small hail, snow and rain"
+TSRA,"Thunderstorm with heavy precipitation of rain"
+TSSN,"Thunderstorm with heavy precipitation of snow"
+TSGR,"Thunderstorm with heavy precipitation of hail"
+TSGS,"Thunderstorm with heavy precipitation of snow pellets/small hail"
+TSUP,"Thunderstorm with heavy precipitation of unidentified precipitation"
+TSRASN,"Thunderstorm with heavy precipitation of rain and snow" 
+TSSNRA,"Thunderstorm with heavy precipitation of snow and rain"
+TSGRRA,"Thunderstorm with heavy precipitation of hail and rain"
+TSGSRA,"Thunderstorm with heavy precipitation of snow pellets/small hail and rain"
+TSRAGR,"Thunderstorm with heavy precipitation of rain and hail"
+TSSNGR,"Thunderstorm with heavy precipitation of snow and hail"
+TSGRSN,"Thunderstorm with heavy precipitation of hail and snow"
+TSGSSN,"Thunderstorm with heavy precipitation of snow pellets/small hail and snow"
+TSRAGS,"Thunderstorm with heavy precipitation of rain and snow pellets/small hail"
+TSSNGS,"Thunderstorm with heavy precipitation of snow and snow pellets/small hail"
+TSRASNGR,"Thunderstorm with heavy precipitation of rain, snow and hail"
+TSRAGRSN,"Thunderstorm with heavy precipitation of rain, hail and snow"
+TSSNRAGR,"Thunderstorm with heavy precipitation of snow, rain and hail"
+TSSNGRRA,"Thunderstorm with heavy precipitation of snow, hail and rain"
+TSGRRASN,"Thunderstorm with heavy precipitation of hail, rain and snow"
+TSGRSNRA,"Thunderstorm with heavy precipitation of hail, snow and rain"
+TSRASNGS,"Thunderstorm with heavy precipitation of rain, snow and snow pellets/small hail"
+TSRAGSSN,"Thunderstorm with heavy precipitation of rain, snow pellets/small hail and snow"
+TSSNRAGS,"Thunderstorm with heavy precipitation of snow, rain and snow pellets/small hail"
+TSSNGSRA,"Thunderstorm with heavy precipitation of snow, snow pellets/small hail and rain"
+TSGSRASN,"Thunderstorm with heavy precipitation of snow pellets/small hail, rain and snow"
+TSGSSNRA,"Thunderstorm with heavy precipitation of snow pellets/small hail, snow and rain"
-FZDZ,"Light precipitation of freezing drizzle"
-FZRA,"Light precipitation of freezng rain"
-FZUP,"Light unidentified freezing precipitation"
-FZDZRA,"Light precipitation of freezing drizzle and rain"
-FZRADZ,"Light precipitation of freezing rain and drizzle"
FZDZ,"Precipitation of freezing drizzle"
FZRA,"Precipitation of freezng rain"
FZUP,"Unidentified freezing precipitation"
FZDZRA,"Precipitation of freezing drizzle and rain"
FZRADZ,"Precipitation of freezing rain and drizzle"
+FZDZ,"Heavy precipitation of freezing drizzle"
+FZRA,"Heavy precipitation of freezng rain"
+FZUP,"Heavy unidentified freezing precipitation"
+FZDZRA,"Heavy precipitation of freezing drizzle and rain"
+FZRADZ,"Heavy precipitation of freezing rain and drizzle"
-DS,"Light duststorm"
DS,"Duststorm"
+DS,"Heavy duststorm"
VCDS,"Duststorm in the vicinity"
-SS,"Light sandstorm"
SS,"Sandstorm"
+SS,"Heavy sandstorm"
VCSS,"Sandstorm in the vicinity"
FG,"Fog"
FC,"Funnel cloud(s) (tornado or water-spout)"
PO,"Dust/sand whirls (dust devils)"
VA,"Volcanic ash"
VCFG,"Fog in the vicinity"
VCFC,"Funnel cloud(s) (tornado or water-spout) in the vicinity"
VCPO,"Dust/sand whirls (dust devils) in the vicinity"
VCVA,"Volcanic ash in the vicinity"
TS,"Thunderstorm"
VCTS,"Thunderstorm in the vicinity"
VCSH,"Shower(s) in the vicinity"
VCBLSA,"Blowing sand in the vicinity"
VCBLDU,"Blowing dust in the vicinity"
VCBLSN,"Blowing snow in the vicinity"
BLSA,"Blowing sand"
BLDU,"Blowing dust"
BLSN,"Blowing snow"
DRSA,"Low drifting sand"
DRDU,"Low drifting dust"
DRSN,"Low drifting snow"
SA,"Sand"
DU,"Dust"
MIFG,"Shallow fog"
PRFG,"Partial fog (covering part of the aerodrome)"
BCFG,"Patches of fog"
FZFG,"Freezing fog"
BR,"Mist"
HZ,"Haze"
FU,"Smoke"
SQ,"Squalls"

---

Note: Use of precipitation type IC "Ice crystals" is deprecated as of Amd 76 to ICAO Annex 3 (Nov 2013)
Note: Use of precipitation type SG "Snow grains" shall only be used without qualification of SH (shower) or TS (thunderstorm)
Note: Use of precipitation types GS "Small hail and/or snow pellets" and GR "Hail" shall only be used with qualification of SH (shower) or TS (thunderstorm)
Note: SH (Shower) cannot be reported with qualifying precipitation
Note: -DS "Light duststorm" and -SS "Light sandstorm" are missing from the list provided by AMOFSG; these have been included herein  
Note: When reporting present weather for METAR the following regulation applies (15.8); the above list of codes has been compiled by AMOFSG following interpretation of this regulation
